School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon PossessionThrough Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2014-2015,Bronx,New York City Geographic District # 8,Bronx Mathematics Preparatory School (the),320800010375,Middle,New York City,Public,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,3,7,2,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2
2014-2015,Bronx,New York City Geographic District # 8,Bronx River High School,320800011349,Senior High,New York City,Public,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,2,4,0,0,0,1,0,1,0,0,0,0,2,0,0,0,15
2014-2015,Bronx,New York City Geographic District # 8,Bronx Studio School For Writers And Artists,320800011269,Junior-Senior High,New York City,Public,569,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,31,2,9,0,0,0,2,0,2,0,0,0,0,0,4,1,0,16
2014-2015,Bronx,New York City Geographic District # 8,Felisa Rincon De Gautier Institute For Law And Public Policy,320800011519,Senior High,New York City,Public,290,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,2,16,0,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,12
2014-2015,Bronx,New York City Geographic District # 8,Herbert H Lehman High School,320800011405,Senior High,New York City,Public,1475,0,0,0,0,0,3,0,0,0,2,1,0,0,2,20,2,3,1,29,2,10,0,0,0,0,0,2,0,0,0,0,6,0,3,0,25
2014-2015,Bronx,New York City Geographic District # 8,Holcombe L Rucker School Of Community Research,320800011332,Senior High,New York City,Public,235,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0
2014-2015,Bronx,New York City Geographic District # 8,Hunts Point School (the),320800010424,Middle,New York City,Public,357,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,1,1,1,23,0,14,0,0,0,1,0,0,0,0,0,0,1,1,1,0,13
2014-2015,Bronx,New York City Geographic District # 8,Jhs 123 James M Kiernan,320800010123,Middle,New York City,Public,415,0,0,0,0,0,2,0,0,0,0,0,0,0,6,11,0,0,5,13,3,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,1
2014-2015,Bronx,New York City Geographic District # 8,Jhs 125 Henry Hudson ,320800010125,Middle,New York City,Public,398,0,0,0,0,0,2,0,0,0,0,0,0,0,5,15,0,2,7,4,1,10,0,0,0,0,0,0,0,0,0,0,0,6,1,0,13
2014-2015,Bronx,New York City Geographic District # 8,Jhs 131 Albert Einstein,320800010131,Middle,New York City,Public,584,0,0,0,0,0,3,0,0,0,1,1,0,0,7,23,2,2,5,21,4,5,0,0,0,1,0,0,0,1,0,0,1,8,0,2,5
2014-2015,Bronx,New York City Geographic District # 8,Millenium Art Academy,320800010312,Senior High,New York City,Public,470,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,1,0,0,6,1,3,0,6
2014-2015,Bronx,New York City Geographic District # 8,Mott Hall Community School,320800010467,Middle,New York City,Public,221,0,0,0,0,1,2,0,0,0,0,1,0,0,1,3,0,1,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3
2014-2015,Bronx,New York City Geographic District # 8,Ms 101 Edward R Byrne ,320800010101,Middle,New York City,Public,498,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2014-2015,Bronx,New York City Geographic District # 8,Ms 301 Paul L Dunbar,320800010301,Middle,New York City,Public,188,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 8,Ms 302 Luisa Dessus Cruz,320800010302,Middle,New York City,Public,546,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,2,0,2,34,0,7,0,0,0,0,0,2,0,0,0,0,0,7,2,0,5
2014-2015,Bronx,New York City Geographic District # 8,Pablo Neruda Academy For Architecture And World Studies,320800011305,Senior High,New York City,Public,307,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,26,0,3,0,0,0,11,0,4,0,3,0,0,5,1,2,2,76
2014-2015,Bronx,New York City Geographic District # 8,Pelham Lab High School,320800011320,Senior High,New York City,Public,215,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,16,0,4,0,0,0,1,0,0,0,0,0,0,2,0,3,1,16
2014-2015,Bronx,New York City Geographic District # 8,Ps 100 Isaac Clason,320800010100,Elementary,New York City,Public,582,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-2015,Bronx,New York City Geographic District # 8,Ps 107,320800010107,Elementary,New York City,Public,474,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 8,Ps 119,320800010119,Elementary,New York City,Public,1030,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
2014-2015,Bronx,New York City Geographic District # 8,Ps 130 Abram Stevens Hewitt,320800010130,Elementary,New York City,Public,487,0,0,0,0,0,3,0,0,0,0,0,0,0,2,4,0,1,0,5,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
2014-2015,Bronx,New York City Geographic District # 8,Ps 138 Samuel Randall,320800010138,Elementary,New York City,Public,795,0,0,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 8,Ps 14 Senator John Calandra,320800010014,Elementary,New York City,Public,607,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 8,Ps 140 Eagle School (the),320800010140,Elementary,New York City,Public,659,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-2015,Bronx,New York City Geographic District # 8,Ps 146 Edward Collins,320800010146,Elementary,New York City,Public,455,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-2015,Bronx,New York City Geographic District # 8,Ps 152 Evergreen,320800010152,Elementary,New York City,Public,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015,Bronx,New York City Geographic District # 8,Ps 182,320800010182,Elementary,New York City,Public,973,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2014-2015,Bronx,New York City Geographic District # 8,Ps 304 Early Childhood School,320800010304,Elementary,New York City,Public,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-2015,Bronx,New York City Geographic District # 8,Ps 333 Museum School (the),320800010333,Elementary,New York City,Public,431,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,21,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
