School Year,County,District,School Name,BEDS Code,Grade Organization,Need/Resource Category,School Type,Enrollment,Homicide With Weapon(s),Homicide Without Weapon(s),Forcible Sex Offenses With Weapon(s),Forcible Sex Offenses Without Weapon(s),Other Sex Offenses With Weapon(s),Other Sex Offenses Without Weapon(s),Robbery With Weapon(s),Robbery Without Weapon(s),Assault With Serious Physical Injury With Weapon(s),Assault With Serious Physical Injury Without Weapon(s),Arson With Weapon(s),Kidnapping With Weapon(s),Kidnapping Without Weapon(s),Assault with Physical Injury With Weapon(s),Assault with Physical Injury Without Weapon(s),Reckless Endangerment With Weapon(s),Reckless Endangerment Without Weapon(s),Minor Altercations With Weapon(s),Minor Altercations Without Weapon(s),"Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)",Burglary With Weapon(s),Burglary Without Weapon(s),Criminal Mischief With Weapon(s),Criminal Mischief Without Weapon(s),"Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)",Bomb Threat,False Alarm,Riot With Weapon(s),Riot Without Weapon(s),Weapon Possession Through Screening,Weapon Possession Under Other Circumstances,Drug Possession,Alcohol Possession,Other Disruptive
2012-2013,Bronx,New York City Geographic District # 8,Pablo Neruda Academy For Architecture And World Studies,320800011305,Senior High,New York City,Public,334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,0,1,0,0,0,3,0,2,0,0,0,0,2,0,1,0,8
2012-2013,Bronx,New York City Geographic District # 8,Ps 100 Isaac Clason,320800010100,Elementary,New York City,Public,630,0,0,0,0,0,2,0,0,0,0,1,0,0,6,12,0,3,8,8,2,1,0,0,0,4,0,0,0,3,0,0,0,2,0,0,2
2012-2013,Bronx,New York City Geographic District # 8,Ps 107,320800010107,Elementary,New York City,Public,489,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Ps 119,320800010119,Elementary,New York City,Public,1029,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Ps 130 Abram Stevens Hewitt,320800010130,Elementary,New York City,Public,499,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
2012-2013,Bronx,New York City Geographic District # 8,Ps 138 Samuel Randall,320800010138,Elementary,New York City,Public,957,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0,33,3,3,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
2012-2013,Bronx,New York City Geographic District # 8,Ps 14 Senator John Calandra,320800010014,Elementary,New York City,Public,613,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Ps 140 The Eagle School,320800010140,Elementary,New York City,Public,648,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
2012-2013,Bronx,New York City Geographic District # 8,Ps 146 Edward Collins,320800010146,Elementary,New York City,Public,473,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Ps 152 Evergreen,320800010152,Elementary,New York City,Public,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Ps 182,320800010182,Elementary,New York City,Public,953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
2012-2013,Bronx,New York City Geographic District # 8,Ps 304 Early Childhood School,320800010304,Elementary,New York City,Public,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-2013,Bronx,New York City Geographic District # 8,Ps 333 The Museum School,320800010333,Elementary,New York City,Public,448,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,13,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2012-2013,Bronx,New York City Geographic District # 8,Ps 36 Unionport,320800010036,Elementary,New York City,Public,716,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
